
1000: | ur | ur | ur | d | r | d | u | l | u | ur | ul | r | ul | ur | ur | ur | u | u | r | r | u | r | r | r | ur | u | ur | ur | r | u | r | ur | ul | ul | u | ul | u | ul | u | ul | u | ul | ul | d | ur | ur | ur | ur | u | r | r | r | ul | d | ul | ul | r | u | r | ul | ur | ur | ur | r | ur | ur | r | ur | d | ur | ur | r | ur | d | r | r | r | ur | ur | ur | r | ur | r | u | r | r | u | ur | r | r | ur | u | ur | r | ur | r | ur | ur | u | r |
1000: | 1, 18 | 2, 18 | 3, 18 | 3, 18 | 4, 18 | 4, 18 | 4, 18 | 3, 18 | 3, 18 | 4, 18 | 3, 18 | 4, 18 | 3, 18 | 4, 18 | 5, 16 | 6, 16 | 6, 16 | 6, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 9, 15 | 9, 15 | 10, 15 | 11, 15 | 12, 15 | 12, 15 | 13, 15 | 14, 13 | 13, 11 | 12, 11 | 12, 11 | 11, 9 | 11, 9 | 10, 9 | 10, 9 | 9, 7 | 9, 7 | 8, 7 | 7, 5 | 7, 16 | 8, 16 | 9, 15 | 10, 15 | 11, 15 | 11, 15 | 12, 15 | 13, 15 | 14, 18 | 14, 18 | 14, 18 | 14, 18 | 14, 18 | 15, 18 | 15, 18 | 16, 18 | 15, 18 | 16, 18 | 17, 18 | 18, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 | 19, 18 |
1000: | ul | ul | ul | ur | r | u | ul | d | r | d | ul | u | l | l | l | ul | ul | l | r | ur | u | ur | ur | d | l | r | l | u | d | u | ur | d | l | u | ur | u | d | ur | ur | ur | l | ur | u | ur | u | u | u | r | r | ul | l | r | r | r | r | u | ur | ur | ul | u | ur | ul | ur | ur | ur | r | l | ur | l | r | ur | ul | u | ul | ul | ul | ul | r | ul | ul | ul | ul | d | u | ur | ur | r | r | r | ul | u | u | ur | ul | ur | r | r | ur | ur | ur |
1000: | 0, 18 | 0, 18 | 0, 18 | 1, 18 | 2, 18 | 2, 18 | 1, 18 | 1, 18 | 2, 18 | 2, 18 | 1, 18 | 1, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 1, 18 | 2, 18 | 2, 18 | 3, 18 | 4, 18 | 4, 18 | 3, 18 | 4, 18 | 3, 18 | 3, 18 | 3, 18 | 3, 18 | 4, 18 | 4, 18 | 3, 18 | 3, 18 | 4, 18 | 4, 18 | 4, 18 | 5, 16 | 6, 16 | 7, 16 | 6, 16 | 7, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 7, 16 | 6, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 9, 15 | 10, 15 | 9, 15 | 9, 15 | 10, 15 | 9, 15 | 10, 15 | 11, 15 | 12, 15 | 13, 15 | 12, 15 | 13, 15 | 12, 15 | 13, 15 | 14, 13 | 13, 11 | 13, 11 | 12, 11 | 11, 9 | 10, 9 | 9, 7 | 10, 9 | 9, 7 | 8, 7 | 7, 5 | 6, 5 | 6, 16 | 6, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 7, 16 | 7, 16 | 7, 16 | 8, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 9, 15 | 10, 15 | 11, 15 |
1000: | ur | d | l | ur | l | d | l | u | l | d | l | r | ul | ul | l | u | d | r | ur | r | ur | r | r | ul | d | ur | ul | u | u | d | d | u | ul | u | ur | r | ur | d | d | u | ur | ur | d | ul | r | r | d | l | l | d | d | r | d | ul | l | l | u | r | r | d | ur | l | l | r | u | ul | d | r | ul | l | r | l | ur | r | ul | r | u | u | d | ul | r | r | ul | d | ur | d | l | l | ul | d | ul | ul | u | r | u | ul | ur | u | l | u |
1000: | 1, 18 | 1, 18 | 0, 18 | 1, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 1, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 1, 18 | 2, 18 | 3, 18 | 4, 18 | 5, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 8, 18 | 9, 18 | 9, 18 | 8, 18 | 7, 18 | 7, 18 | 7, 18 | 8, 18 | 8, 18 | 8, 18 | 7, 18 | 6, 18 | 6, 18 | 7, 18 | 8, 18 | 8, 18 | 8, 18 | 7, 18 | 6, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 8, 18 | 8, 18 | 7, 18 | 8, 18 | 7, 18 | 7, 18 | 8, 18 | 8, 18 | 9, 18 | 9, 18 | 9, 18 | 9, 18 | 9, 18 | 10, 18 | 11, 18 | 11, 18 | 11, 18 | 11, 18 | 11, 18 | 10, 18 | 9, 18 | 9, 18 | 9, 18 | 9, 18 | 9, 18 | 9, 18 | 10, 18 | 10, 18 | 10, 18 | 10, 18 | 10, 18 | 9, 18 | 9, 18 |
1000: | l | u | ur | d | d | ur | ur | ur | ur | u | l | d | ur | ul | r | ul | ur | l | u | u | l | r | ul | l | u | l | r | u | ul | r | ul | r | ul | ur | u | l | u | l | l | d | ul | l | d | d | l | u | d | l | r | ur | d | r | ul | l | r | ul | d | ul | ul | ur | ur | u | ur | ur | d | l | u | ur | l | ur | d | ur | l | r | l | ur | ur | ur | r | r | u | r | r | r | r | r | r | r | r | r | r | r | r | r | l | r | r | r | u | r |
1000: | 0, 18 | 0, 18 | 1, 18 | 1, 18 | 1, 18 | 2, 18 | 3, 18 | 4, 18 | 5, 16 | 5, 16 | 4, 18 | 4, 18 | 5, 16 | 4, 18 | 5, 18 | 5, 18 | 5, 18 | 4, 18 | 4, 18 | 4, 18 | 3, 18 | 4, 18 | 3, 18 | 2, 18 | 2, 18 | 1, 18 | 2, 18 | 2, 18 | 1, 18 | 2, 18 | 1, 18 | 2, 18 | 1, 18 | 2, 18 | 2, 18 | 1, 18 | 1, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 0, 18 | 1, 18 | 2, 18 | 2, 18 | 3, 18 | 2, 18 | 1, 18 | 2, 18 | 1, 18 | 1, 18 | 0, 18 | 0, 18 | 1, 18 | 2, 18 | 2, 18 | 3, 18 | 4, 18 | 4, 18 | 3, 18 | 3, 18 | 4, 18 | 3, 18 | 4, 18 | 4, 18 | 5, 16 | 4, 18 | 5, 18 | 4, 18 | 5, 16 | 6, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 |
1000: | r | r | ur | ur | d | ur | u | ur | ul | u | ur | ur | l | ur | ur | r | u | r | r | r | r | u | r | r | r | r | l | ur | r | r | r | u | ur | u | ul | l | r | ur | ur | ul | ur | ur | r | u | r | ur | ul | ul | ul | ul | ul | u | ul | ul | ul | r | ul | u | l | ul | u | ul | ul | l | l | r | u | d | r | r | l | ur | l | ur | ul | d | r | r | ul | ul | ur | d | d | r | ur | u | ur | l | ul | l | d | r | d | l | l | u | u | ur | ur | ur |
1000: | 1, 18 | 2, 18 | 3, 18 | 4, 18 | 4, 18 | 5, 16 | 5, 16 | 6, 16 | 5, 16 | 5, 16 | 6, 16 | 7, 16 | 6, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 7, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 8, 16 | 9, 15 | 9, 15 | 8, 16 | 7, 16 | 8, 16 | 9, 15 | 10, 15 | 9, 15 | 10, 15 | 11, 15 | 12, 15 | 12, 15 | 13, 15 | 14, 13 | 13, 11 | 12, 11 | 11, 9 | 10, 9 | 9, 7 | 9, 7 | 8, 7 | 7, 5 | 6, 5 | 7, 5 | 6, 5 | 6, 5 | 5, 5 | 4, 5 | 4, 5 | 4, 5 | 4, 5 | 3, 5 | 2, 5 | 3, 5 | 3, 5 | 3, 18 | 4, 18 | 5, 18 | 4, 18 | 5, 16 | 4, 18 | 5, 16 | 4, 18 | 4, 18 | 5, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 6, 18 | 7, 18 | 7, 18 | 7, 18 | 7, 18 | 6, 18 | 6, 18 | 5, 18 | 5, 18 | 6, 18 | 6, 18 | 5, 18 | 4, 18 | 4, 18 | 4, 18 | 5, 16 | 6, 16 | 7, 16 |
1000: | ul | ur | ul | l | ur | l | l | ur | r | ul | ur | ur | u | r | l | d | r | d | ur | ur | ur | ur | r | u | r | r | ur | ur | u | ur | ur | r | u | ur | ul | ul | ul | ul | ul | ul | ul | u | u | ul | r | ul | u | ur | ul | ul | r | u | u | r | ul | ur | ul | u | d | u | l | ur | ur | ur | r | r | r | l | ur | r | ur | ur | ur | r | ur | ur | ur | ur | d | r | ur | ur | ur | r | ur | ur | d | d | u | ur | d | ur | r | u | u | d | ur | u | u | r |
